"date","timestamp","channel","message_id","message_text","is_signal","asset","direction","signal_time"
"2026-02-26","2026-02-26 10:25:59","po advance bot","3856","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ GBPJPY ⏰ Entry Time │ 10:28 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","GBPJPY","call","10:28"
"2026-02-26","2026-02-26 10:26:01","po advance bot","3857","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:27:15","po advance bot","3858","✦✦✦ RESULTADO FINAL ✦✦✦ VICTORY CONFIRMED ✅ 💎 Pair → AEDCNY_otc ⏳ Time → 10:25 👑 Outcome → PROFIT SECURED 💰🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT : 4 ⚡ LOSS : 0 🎯 WINRATE : 100.0% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃","No","","",""
"2026-02-26","2026-02-26 10:29:18","po advance bot","3859","If you are not following this strategy you will loss","No","","",""
"2026-02-26","2026-02-26 10:30:01","po advance bot","3861","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:31:43","po advance bot","3862","This one will if you take instantly take trade or doji","No","","",""
"2026-02-26","2026-02-26 10:34:19","po advance bot","3863","✦✦✦ RESULTADO FINAL ✦✦✦ VICTORY CONFIRMED ✅ 💎 Pair → EURJPY ⏳ Time → 10:32 👑 Outcome → PROFIT SECURED 💰🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT : 5 ⚡ LOSS : 0 🎯 WINRATE : 100.0% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃","No","","",""
"2026-02-26","2026-02-26 10:35:00","po advance bot","3865","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:38:00","po advance bot","3866","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ NZDUSD ⏰ Entry Time │ 10:40 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","NZDUSD","call","10:40"
"2026-02-26","2026-02-26 10:38:02","po advance bot","3867","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:42:00","po advance bot","3869","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:46:00","po advance bot","3871","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:49:00","po advance bot","3872","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ EURCHF ⏰ Entry Time │ 10:51 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","EURCHF","call","10:51"
"2026-02-26","2026-02-26 10:49:03","po advance bot","3873","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:54:04","po advance bot","3874","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ USDBDT_otc ⏰ Entry Time │ 10:56 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","USDBDT_otc","call","10:56"
"2026-02-26","2026-02-26 10:54:06","po advance bot","3875","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:57:11","po advance bot","3876","✦✦✦ RESULTADO FINAL ✦✦✦ VICTORY CONFIRMED ✅ 💎 Pair → AUDCAD_otc ⏳ Time → 10:37 👑 Outcome → PROFIT SECURED 💰🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT : 6 ⚡ LOSS : 0 🎯 WINRATE : 100.0% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃","No","","",""
